test_id,port,expected,detected,confidence,match,scenario_type,scenario_subtype,difficulty,latency_ms,reasoning,banner_hex,signals
PARTIAL_00195_mut_013,65,smtp,smtp,72.0,True,partial_banner,mid_header_eof_timing,evil,0.05,normal decision,323230206d61696c2e6578616d706c652e636f6d2045534d545020506f737466697820,{'smtp': 90}
PARTIAL_00253_mut_010,33492,unknown,unknown,19.0,True,partial_banner,extreme_truncation_binary_noise,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32cc32,{'unknown': 1}
PARTIAL_00262_mut_015,52695,unknown,unknown,19.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,3232,{'unknown': 1}
PARTIAL_00323_mut_008,16511,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
FILTER_02993,47110,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03863,7547,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00195_mut_014,79,smtp,ftp,49.0,False,partial_banner,mid_header_eof_truncation,evil,0.08,normal decision,323230206d61696c2e6578616d706c,{'ftp': 35}
PARTIAL_00253_mut_011,33485,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00263_mut_000,36516,unknown,unknown,19.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,72,{'unknown': 1}
PARTIAL_00323_mut_009,16488,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
FILTER_02994,58142,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03864,37246,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00195_mut_015,118,smtp,unknown,21.0,False,partial_banner,mid_header_eof_double_mutation,evil,0.04,untrusted decision,363230206d61696cd6158f2e6578616d702c65ae636f6d2045434d545020506f737466697800,{'unknown': 1}
PARTIAL_00253_mut_012,33524,unknown,unknown,19.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,3232,{'unknown': 1}
PARTIAL_00263_mut_001,36498,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,52,{'unknown': 1}
PARTIAL_00323_mut_010,16511,unknown,unknown,19.0,True,partial_banner,extreme_truncation_binary_noise,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32322b30,{'unknown': 1}
FILTER_02995,51148,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03865,65020,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00195_mut_016,59,smtp,smtp,72.0,True,partial_banner,mid_header_eof_binary_noise,evil,0.06,normal decision,323230206d61696c2e6578616d706c652e636f6d20de8820060145534d545020506f737466697820,{'smtp': 90}
PARTIAL_00253_mut_013,33524,unknown,unknown,19.0,True,partial_banner,extreme_truncation_header_reorder,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,3232,{'unknown': 1}
PARTIAL_00263_mut_002,36497,unknown,unknown,19.0,True,partial_banner,extreme_truncation_byte_insertion,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,52cfd4,{'unknown': 1}
PARTIAL_00323_mut_011,16429,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,303654cd9cde,{'unknown': 1}
FILTER_02996,38175,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03866,54468,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.01,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_000,110,smtp,unknown,25.0,False,partial_banner,mid_header_eof_truncation_extreme,evil,0.03,Low behavioral consistency (50): likely honeypot or protocol mismatch,323230206d,{'ftp': 35}
PARTIAL_00253_mut_014,33496,unknown,unknown,19.0,True,partial_banner,extreme_truncation_binary_noise,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,283232,{'unknown': 1}
PARTIAL_00263_mut_003,36526,unknown,unknown,19.0,True,partial_banner,extreme_truncation_binary_noise,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,0952,{'unknown': 1}
PARTIAL_00324_mut_000,20676,unknown,unknown,25.0,True,partial_banner,extreme_truncation_binary_noise,evil,0.21,Low behavioral consistency (50): likely honeypot or protocol mismatch,48545450a2,{'http': 35}
FILTER_02997,38829,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03867,61335,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_001,91,smtp,ftp,49.0,False,partial_banner,mid_header_eof_header_reorder,evil,0.06,normal decision,323230206d61696c2e6578616d706c652e636f6d20,{'ftp': 35}
PARTIAL_00253_mut_015,33512,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00324_mut_001,20724,unknown,unknown,25.0,True,partial_banner,extreme_truncation_timing,evil,0.04,Low behavioral consistency (50): likely honeypot or protocol mismatch,48545450,{'http': 35}
FILTER_02998,52444,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03868,3101,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_002,111,smtp,ftp,49.0,False,partial_banner,mid_header_eof_case_mutation,evil,0.05,normal decision,323230204d61496c2e6558616d506c452e636f6d20,{'ftp': 35}
PARTIAL_00254_mut_000,18593,unknown,unknown,19.0,True,partial_banner,extreme_truncation_header_reorder,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00263_mut_005,36554,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,6f606706,{'unknown': 1}
PARTIAL_00324_mut_002,20725,unknown,unknown,21.0,True,partial_banner,extreme_truncation_byte_insertion,evil,0.04,untrusted decision,484c12b53d68bccd7aeb9059b41618fdb636d9ef545450,{'unknown': 1}
FILTER_02999,20671,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03869,43425,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_003,4,smtp,ftp,49.0,False,partial_banner,mid_header_eof_timing,evil,0.05,normal decision,323230206d61696c2e6578616d706c652e636f6d20,{'ftp': 35}
PARTIAL_00254_mut_001,18625,unknown,unknown,19.0,True,partial_banner,extreme_truncation_header_reorder,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00263_mut_006,36545,unknown,unknown,19.0,True,partial_banner,extreme_truncation_header_reorder,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,52,{'unknown': 1}
PARTIAL_00324_mut_003,20676,unknown,unknown,25.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.04,Low behavioral consistency (50): likely honeypot or protocol mismatch,48545450,{'http': 35}
FILTER_03000,30237,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03870,18289,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_004,89,smtp,ftp,49.0,False,partial_banner,mid_header_eof_case_mutation,evil,0.05,normal decision,323230204d61694c2e4558614d706c652e636f6d20,{'ftp': 35}
PARTIAL_00263_mut_007,36531,unknown,unknown,19.0,True,partial_banner,extreme_truncation_binary_noise,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,7952,{'unknown': 1}
PARTIAL_00324_mut_004,20646,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,48,{'unknown': 1}
FILTER_03001,51564,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03871,30637,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_005,81,smtp,ftp,49.0,False,partial_banner,mid_header_eof_byte_deletion,evil,0.05,normal decision,323230206d6169616d706c652e636f6d20,{'ftp': 35}
PARTIAL_00254_mut_003,18627,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,30a53d3c,{'unknown': 1}
PARTIAL_00263_mut_008,36482,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,52,{'unknown': 1}
PARTIAL_00324_mut_005,20674,unknown,unknown,21.0,True,partial_banner,extreme_truncation_byte_insertion,evil,0.03,untrusted decision,48545486e690ffe67abfaa9d6e78bec5f03f5a50,{'unknown': 1}
FILTER_03002,25527,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03872,15344,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_006,130,smtp,unknown,25.0,False,partial_banner,mid_header_eof_truncation_extreme,evil,0.03,Low behavioral consistency (50): likely honeypot or protocol mismatch,323230206d,{'ftp': 35}
PARTIAL_00254_mut_004,18627,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,60df9f39,{'unknown': 1}
PARTIAL_00263_mut_009,36453,unknown,unknown,19.0,True,partial_banner,extreme_truncation_timing,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,52,{'unknown': 1}
PARTIAL_00324_mut_006,20708,unknown,unknown,19.0,True,partial_banner,extreme_truncation_byte_deletion,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,545450,{'unknown': 1}
FILTER_03003,28983,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03873,54479,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.01,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_007,72,smtp,ftp,50.0,False,partial_banner,mid_header_eof_byte_insertion,evil,0.06,normal decision,323230206d61696c2e6578616d706c652e636f6d20982cbe111e4ce7f35538059d,{'ftp': 35}
PARTIAL_00254_mut_005,18634,unknown,unknown,19.0,True,partial_banner,extreme_truncation_timing,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00263_mut_010,36557,unknown,unknown,19.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,52,{'unknown': 1}
PARTIAL_00324_mut_007,20678,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation,evil,0.04,Low behavioral consistency (50): likely honeypot or protocol mismatch,48,{'unknown': 1}
FILTER_03004,52956,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03874,2296,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_008,105,smtp,unknown,21.0,False,partial_banner,mid_header_eof_byte_flip,evil,0.03,untrusted decision,221a30206d6169cc6e6578616d306c652e636f6d60,{'unknown': 1}
PARTIAL_00254_mut_006,18622,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,132ba75a,{'unknown': 1}
PARTIAL_00324_mut_008,20644,unknown,unknown,25.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.03,Low behavioral consistency (50): likely honeypot or protocol mismatch,48547450,{'http': 35}
FILTER_03005,42136,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03875,25537,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_009,33,smtp,unknown,19.0,False,partial_banner,mid_header_eof_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00254_mut_007,18584,unknown,unknown,19.0,True,partial_banner,extreme_truncation_binary_noise,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,4f32,{'unknown': 1}
PARTIAL_00263_mut_012,36450,unknown,unknown,19.0,True,partial_banner,extreme_truncation_timing,evil,0.01,Low behavioral consistency (50): likely honeypot or protocol mismatch,52,{'unknown': 1}
PARTIAL_00324_mut_009,20671,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,085c5c50f46e14,{'unknown': 1}
FILTER_03006,12063,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03876,28398,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_010,145,smtp,ftp,49.0,False,partial_banner,mid_header_eof_timing,evil,0.05,normal decision,323230206d61696c2e6578616d706c652e636f6d20,{'ftp': 35}
PARTIAL_00263_mut_013,36549,unknown,unknown,19.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,52,{'unknown': 1}
PARTIAL_00324_mut_010,20613,unknown,unknown,25.0,True,partial_banner,extreme_truncation_timing,evil,0.04,Low behavioral consistency (50): likely honeypot or protocol mismatch,48545450,{'http': 35}
FILTER_03007,15338,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03877,8758,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_011,82,smtp,ftp,50.0,False,partial_banner,mid_header_eof_binary_noise,evil,0.06,normal decision,323230206d61696c2e6578616d0bcff13d455d5d706c652e636f6d20,{'ftp': 35}
PARTIAL_00254_mut_009,18646,unknown,unknown,19.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00263_mut_014,36545,unknown,unknown,19.0,True,partial_banner,extreme_truncation_header_reorder,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,52,{'unknown': 1}
PARTIAL_00325_mut_000,12595,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,53,{'unknown': 1}
FILTER_03008,30284,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03878,45376,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_012,90,smtp,ftp,49.0,False,partial_banner,mid_header_eof_binary_noise,evil,0.06,normal decision,323230206d61696c2e6578618f2908e7dca86fa8176d706c652e636f6d20,{'ftp': 35}
PARTIAL_00254_mut_010,18576,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00264_mut_000,8718,unknown,unknown,21.0,True,partial_banner,extreme_truncation_byte_insertion,evil,0.04,untrusted decision,485454502f312e0330ba1636ddfef7430e42b32542173d4fb4407931,{'unknown': 1}
PARTIAL_00325_mut_001,12545,unknown,unknown,19.0,True,partial_banner,extreme_truncation_binary_noise,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,53537848,{'unknown': 1}
FILTER_03009,50109,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03879,9978,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_013,56,smtp,ftp,49.0,False,partial_banner,mid_header_eof_truncation,evil,0.05,normal decision,323230206d61696c2e65,{'ftp': 35}
PARTIAL_00254_mut_011,18647,unknown,unknown,19.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00264_mut_001,8689,unknown,unknown,19.0,True,partial_banner,extreme_truncation_byte_deletion,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,485454,{'unknown': 1}
FILTER_03010,21239,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03880,42639,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_014,103,smtp,ftp,49.0,False,partial_banner,mid_header_eof_case_mutation,evil,0.05,normal decision,323230206d41696c2e6578614d706c652e636f6d20,{'ftp': 35}
PARTIAL_00254_mut_012,18587,unknown,unknown,19.0,True,partial_banner,extreme_truncation_double_mutation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,e2046864,{'unknown': 1}
PARTIAL_00264_mut_002,8753,unknown,unknown,25.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.03,Low behavioral consistency (50): likely honeypot or protocol mismatch,485454502f312e31,{'http': 65}
PARTIAL_00325_mut_003,12579,unknown,unknown,19.0,True,partial_banner,extreme_truncation_byte_deletion,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5348,{'unknown': 1}
FILTER_03011,39484,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03881,51463,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_015,118,smtp,unknown,25.0,False,partial_banner,mid_header_eof_byte_deletion,evil,0.06,Low behavioral consistency (48): likely honeypot or protocol mismatch,32323061696c2e6578616d706c652e636f6d20,{'ftp': 35}
PARTIAL_00254_mut_013,18591,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00264_mut_003,8732,unknown,unknown,19.0,True,partial_banner,extreme_truncation_byte_deletion,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,312e31,{'unknown': 1}
PARTIAL_00325_mut_004,12567,unknown,unknown,25.0,True,partial_banner,extreme_truncation_case_mutation,evil,0.26,Low behavioral consistency (50): likely honeypot or protocol mismatch,535368,{'ssh': 40}
FILTER_03012,47559,filtered,filtered,5,True,filtered_closed,delayed_close,hard,0.0,Port filtered (simulated - no probe data),,{}
NONSTD_03882,63191,postgresql,unknown,19.0,False,nonstandard_port,postgresql_on_random,hard,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,5200000008,{'unknown': 1}
PARTIAL_00196_mut_016,81,smtp,ftp,49.0,False,partial_banner,mid_header_eof_binary_noise,evil,0.06,normal decision,323230206d61696c2e6578616d706c652ed827636f6d20,{'ftp': 35}
PARTIAL_00254_mut_014,18579,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,32,{'unknown': 1}
PARTIAL_00264_mut_004,8769,unknown,unknown,19.0,True,partial_banner,extreme_truncation_truncation_extreme,evil,0.02,Low behavioral consistency (50): likely honeypot or protocol mismatch,4854,{'unknown': 1}
